park_name,park_long,park_lat,park_state
Gila Cliff Dwellings National Monument,108.2706711,33.22715258,NM
Glacier Bay National Park & Preserve,136.8407579,58.80086718,AK
Glacier National Park,113.8009306,48.68414678,MT
Glen Canyon National Recreation Area,110.7718311,37.51841301,AZ,UT
Glen Echo Park,77.14012206,38.96912315,MD
Gloria Dei Church National Historic Site,75.14398924,39.93435005,PA
Golden Gate National Recreation Area,122.6007386,37.85982543,CA
Golden Spike National Historic Site,112.5242653,41.61947508,UT
Governors Island National Monument,74.01670765,40.69164233,NY
Grand Canyon National Park,112.6836024,36.17280161,AZ
Grand Portage National Monument,89.75573031,47.99294217,MN
Grand Teton National Park,110.7054666,43.81853565,WY
Grant-Kohrs Ranch National Historic Site,112.7467024,46.41358923,MT
Great Basin National Park,114.2579782,38.94617378,NV
Great Egg Harbor River,74.64969521,39.30421499,NJ
Great Falls Park,77.25128326,38.98776107,VA
Great Sand Dunes National Park & Preserve,105.5919572,37.79256812,CO
Great Smoky Mountains National Park,83.50818326,35.60116374,NC,TN
Green Springs,78.16540204,38.02745704,VA
Greenbelt Park,76.89722133,38.98328267,MD
Guadalupe Mountains National Park,104.885527,31.92304462,TX
Guilford Courthouse National Military Park,79.8424561,36.13225478,NC
Gulf Islands National Seashore,87.75064297,30.29924926,FL,MS
Gullah/Geechee Cultural Heritage Corridor,79.8232242465019,32.8470785915852,FL,GA,NC,SC
Hagerman Fossil Beds National Monument,114.9443074,42.79074114,ID
Haleakal&#257; National Park,156.1591775,20.70693015,HI
Hamilton Grange National Memorial,73.94878487,40.81871605,NY
Hampton National Historic Site,76.58781182,39.4175296,MD
Harmony Hall,77.00377069,38.74646351,MD
Harpers Ferry National Historical Park,77.74088546,39.31865949,WV,VA,MD
Harriet Tubman National Historical Park,76.5646715462208,42.9128920286894,NY
Harriet Tubman Underground Railroad National Historical Park,76.1373451375579,38.4548643510713,MD
Harry S Truman National Historic Site,94.5162488,38.92711967,MO
Hawai'i Volcanoes National Park,155.4700257,19.3355036,HI
Herbert Hoover National Historic Site,91.35232139,41.66793558,IA
Historic Jamestowne Part of Colonial National Historical Park,76.75469561,37.20027185,VA
Hohokam Pima National Monument,111.9192737,33.18713877,AZ
Home Of Franklin D Roosevelt National Historic Site,73.92516857,41.76639758,NY
Homestead National Monument of America,96.83387781,40.28802381,NE
Honouliuli National Monument,158.0574991,21.38817536,HI
Hopewell Culture National Historical Park,83.08049456,39.31594374,OH
Hopewell Furnace National Historic Site,75.76766355,40.20610637,PA
Horseshoe Bend National Military Park,85.73413589,32.97668879,AL
Hot Springs National Park,93.06332936,34.52414366,AR
Hovenweep National Monument,109.0047977,37.39134092,CO,UT
Hubbell Trading Post National Historic Site,109.5599515,35.70727324,AZ
Hudson River Valley National Heritage Area,73.9580383300781,42.0397300720215,NY
I&#241;upiat Heritage Center,156.7529136,71.29889155,AK
Independence National Historical Park,75.14794157,39.94746112,PA
Indiana Dunes National Lakeshore,87.09647445,41.63765525,IN
Isle Royale National Park,88.82780657,48.01145819,MI
James A Garfield National Historic Site,81.35086557,41.66486549,OH
Jean Lafitte National Historical Park and Preserve,90.1402241,29.81739855,LA
Jewel Cave National Monument,103.829994,43.73102945,SD
Jimmy Carter National Historic Site,84.41606653,32.03059943,GA
John Day Fossil Beds National Monument,119.8811491,44.62566508,OR
John Fitzgerald Kennedy National Historic Site,71.12323846,42.34693694,MA
John H. Chafee Blackstone River Valley National Heritage Corridor,71.668818,42.201158,MA,RI
John Muir National Historic Site,122.1326097,37.9828422,CA
Johnstown Flood National Memorial,78.77448601,40.34584534,PA
Joshua Tree National Park,115.8398125,33.91418525,CA
Journey Through Hallowed Ground National Heritage Area,77.8056488037109,38.8904075622559,MD,PA,WV,VA
Kalaupapa National Historical Park,156.9511609,21.1731108,HI
